warning: only one CPU, which may conceal locking bugs
020665 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020665 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
021187 TIMR S1 Leader, checking heartbeats
021190 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021190 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021191 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
021192 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021192 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021193 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
021766 TIMR S1 Leader, checking heartbeats
021769 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021770 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021771 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
021772 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021773 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021774 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022298 TIMR S1 Leader, checking heartbeats
022301 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022301 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022302 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022303 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022303 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022304 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022871 TIMR S1 Leader, checking heartbeats
022875 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022876 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022877 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022879 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022879 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022880 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
023422 TIMR S1 Leader, checking heartbeats
023426 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023427 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023428 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
023464 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023464 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023465 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
023933 TIMR S1 Leader, checking heartbeats
023940 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023940 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023941 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
023943 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023943 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023944 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
024465 TIMR S1 Leader, checking heartbeats
024469 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024469 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024470 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
024472 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024472 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024473 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025025 TIMR S1 Leader, checking heartbeats
025028 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025028 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025032 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025033 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025033 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025034 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025633 TIMR S1 Leader, checking heartbeats
025636 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025637 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025638 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025640 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025640 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025641 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
026158 TIMR S1 Leader, checking heartbeats
026161 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026161 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
